Sample in Buffer,Sample in Window,TRIGGER,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tdata[159:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_0_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tdata[159:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_1_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tdata[63:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_2_axis_tlast,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tdata[63:0],fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tvalid,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tready,fpga_block_design_i/datapath/system_ila_1/inst/net_slot_3_axis_tlast,Interface_(i4:s0)_(dac_ctrl_ch4)[2:0],Interface_(i4:s1)_(dac_ctrl_ch5)[2:0],Interface_(i4:s2)_(SF_COMP_hier_M_AXIS_OUT_CH0)[2:0],Interface_(i4:s3)_(SF_COMP_hier_M_AXIS_OUT_CH1)[2:0],T_Channel_(i4:s0)_(dac_ctrl_ch4)[2:0],T_Channel_(i4:s1)_(dac_ctrl_ch5)[2:0],T_Channel_(i4:s2)_(SF_COMP_hier_M_AXIS_OUT_CH0)[2:0],T_Channel_(i4:s3)_(SF_COMP_hier_M_AXIS_OUT_CH1)[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,BINARY,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,1,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000001000000000000000000000000000000000000000000000000000,0,1,1,0000000000000000,0,1,1,"_","_","_","_","_","_","_","_"
1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111100101110101001100010010010001101000111110011111100111111001,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
2,2,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0011100000000000000010110001000011000000000000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
3,3,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0110000000000000000000000000001111111111111011111111111110000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
4,4,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000001011111111111110000000000000001111111111111000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
5,5,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111111111000000000000010111111111111100000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
6,6,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000101111111111110011111111111110000000000000000000000000000011,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
7,7,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111111100000000000010000000000000000000000000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
8,8,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0010000000000000100000000000001000000000000000111111111111000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
9,9,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000010111111111111101111111111111011111111111110111111111111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
10,10,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000111111111111100000000000000000000000000000111111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
11,11,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111011111111111110000000000000000000000000001000000000000010,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
12,12,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111111111101011111111111110111111111111100000000000000011111111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
13,13,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1111101111111111111000000000000000000000000000000000000000001000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
14,14,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000011111111111110111111111111001111111111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
15,15,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,1010000000000000001111111111111011111111111110000000000000000000,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
16,16,0,0000000000000000000000000000000000000000,1,1,0,0000000000000000000000000000000000000000,1,1,0,0000000010000000000000000000000000000011111111111110111111111111,1,1,0,0000000000000000,0,1,1,"Active","Active","Active","_","Stream Beat","Stream Beat","Stream Beat","_"
